,country_name,contact_trace,inter_travel,movement_res,public_trans,test_pol,vaccine_pol
0,Aruba,0.0,1.0,0.0,0.0,0.0,5.0
1,Afghanistan,0.0,4.0,1.0,0.0,3.0,0.0
2,Angola,0.0,3.0,2.0,1.0,2.0,3.0
3,Albania,0.0,0.0,0.0,0.0,3.0,4.0
4,Andorra,2.0,2.0,0.0,1.0,3.0,5.0
5,United Arab Emirates,2.0,2.0,2.0,0.0,3.0,5.0
6,Argentina,2.0,4.0,2.0,2.0,2.0,4.0
7,Australia,2.0,4.0,2.0,1.0,2.0,4.0
8,Austria,2.0,3.0,0.0,1.0,3.0,5.0
9,Azerbaijan,2.0,4.0,0.0,1.0,2.0,5.0
10,Burundi,0.0,1.0,0.0,0.0,1.0,0.0
11,Belgium,2.0,3.0,0.0,0.0,3.0,5.0
12,Benin,2.0,1.0,1.0,1.0,1.0,4.0
13,Burkina Faso,1.0,2.0,0.0,0.0,2.0,5.0
14,Bangladesh,2.0,3.0,0.0,0.0,3.0,4.0
15,Bulgaria,1.0,1.0,0.0,0.0,3.0,5.0
16,Bahrain,2.0,2.0,0.0,0.0,3.0,4.0
17,Bahamas,2.0,1.0,2.0,0.0,3.0,5.0
18,Bosnia and Herzegovina,0.0,1.0,0.0,0.0,3.0,3.0
19,Belarus,2.0,3.0,0.0,0.0,3.0,2.0
20,Belize,2.0,1.0,2.0,1.0,2.0,3.0
21,Bermuda,2.0,2.0,0.0,0.0,3.0,5.0
22,Bolivia,1.0,4.0,1.0,1.0,3.0,4.0
23,Brazil,0.0,1.0,2.0,1.0,1.0,4.0
24,Barbados,2.0,2.0,0.0,0.0,3.0,5.0
25,Brunei,2.0,4.0,0.0,1.0,3.0,5.0
26,Bhutan,2.0,3.0,1.0,1.0,3.0,5.0
27,Botswana,2.0,1.0,2.0,0.0,3.0,3.0
28,Central African Republic,0.0,2.0,0.0,0.0,2.0,2.0
29,Canada,1.0,3.0,2.0,1.0,2.0,5.0
30,Switzerland,2.0,3.0,0.0,0.0,3.0,5.0
31,Chile,2.0,2.0,2.0,1.0,3.0,4.0
32,China,2.0,3.0,2.0,1.0,3.0,5.0
33,Cote d'Ivoire,1.0,4.0,0.0,0.0,3.0,5.0
34,Cameroon,0.0,1.0,0.0,0.0,3.0,5.0
35,Democratic Republic of Congo,0.0,1.0,2.0,0.0,1.0,1.0
36,Congo,0.0,1.0,1.0,1.0,2.0,5.0
37,Colombia,2.0,1.0,1.0,2.0,2.0,5.0
38,Comoros,Comoros,Comoros,Comoros,Comoros,Comoros,0.0
39,Cape Verde,0.0,1.0,2.0,0.0,3.0,3.0
40,Costa Rica,1.0,1.0,1.0,0.0,3.0,4.0
41,Cuba,2.0,2.0,2.0,2.0,3.0,4.0
42,Cyprus,2.0,1.0,0.0,1.0,3.0,5.0
43,Czech Republic,2.0,2.0,0.0,0.0,3.0,5.0
44,Germany,2.0,2.0,0.0,1.0,3.0,5.0
45,Djibouti,0.0,1.0,0.0,2.0,1.0,3.0
46,Dominica,2.0,2.0,1.0,1.0,3.0,5.0
47,Denmark,2.0,2.0,0.0,0.0,3.0,5.0
48,Dominican Republic,1.0,1.0,1.0,1.0,3.0,5.0
49,Algeria,2.0,2.0,0.0,1.0,2.0,3.0
50,Ecuador,2.0,2.0,2.0,1.0,3.0,3.0
51,Egypt,0.0,1.0,0.0,0.0,2.0,3.0
52,Eritrea,1.0,4.0,0.0,1.0,3.0,0.0
53,Spain,1.0,2.0,0.0,0.0,2.0,5.0
54,Estonia,1.0,2.0,0.0,0.0,2.0,5.0
55,Ethiopia,1.0,2.0,0.0,1.0,3.0,4.0
56,Finland,2.0,2.0,0.0,1.0,2.0,5.0
57,Fiji,2.0,4.0,2.0,1.0,2.0,5.0
58,France,1.0,3.0,2.0,1.0,3.0,5.0
59,Faeroe Islands,2.0,1.0,0.0,0.0,3.0,2.0
60,Gabon,0.0,1.0,2.0,1.0,3.0,2.0
61,United Kingdom,1.0,3.0,0.0,1.0,2.0,5.0
62,Georgia,2.0,2.0,2.0,0.0,2.0,2.0
63,Ghana,2.0,1.0,0.0,0.0,2.0,3.0
